article_id,doi,article_url,source_issue_url,journal_key,journal_title,year,volume,issue_number,title_raw,title_clean_initial,authors,publication_date,online_publication_date,article_type,abstract_text,n_keywords,title_len,pub_year,flag_book_review,flag_editorial,flag_guide_for_authors,flag_notice,flag_correction,flag_comment_reply_letter,flag_front_back_matter,flag_any_nonresearch_candidate,flag_short_title_lt20
10.1016/s0197-4556(05)00056-0,10.1016/s0197-4556(05)00056-0,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000560,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0,False,False,False,False,False,False,True,True,False
10.1016/s0197-4556(05)00102-4,10.1016/s0197-4556(05)00102-4,https://linkinghub.elsevier.com/retrieve/pii/S0197455605001024,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,Guide for Authors,Guide for Authors,,2005,,journal-article,,0,17,2005.0,False,False,True,False,False,False,False,True,True
10.1016/j.aip.2004.12.005,10.1016/j.aip.2004.12.005,https://linkinghub.elsevier.com/retrieve/pii/S0197455604001285,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Book review,Book review,Jeanne D’Archer,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00025-0,10.1016/s0197-4556(05)00025-0,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000250,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Notice,Notice,,2005,,journal-article,,0,6,2005.0,False,False,False,True,False,False,False,True,True
10.1016/j.aip.2005.01.002,10.1016/j.aip.2005.01.002,https://linkinghub.elsevier.com/retrieve/pii/S019745560500002X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,2.0,Book review,Book review,Annette Shore,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2004.12.004,10.1016/j.aip.2004.12.004,https://linkinghub.elsevier.com/retrieve/pii/S0197455604001273,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Book review,Book review,Roberta S. Kagin,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/j.aip.2005.07.006,10.1016/j.aip.2005.07.006,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000754,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,Book review,Book review,Ikuko Acosta,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00095-x,10.1016/s0197-4556(05)00095-x,https://linkinghub.elsevier.com/retrieve/pii/S019745560500095X,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,5.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0,False,False,False,False,False,False,True,True,False
10.1016/s0197-4556(05)00009-2,10.1016/s0197-4556(05)00009-2,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000092,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Inside front cover / Editoral board,Inside front cover / Editoral board,,2005,,journal-article,,0,35,2005.0,False,True,False,False,False,False,True,True,False
10.1016/s0197-4556(05)00006-7,10.1016/s0197-4556(05)00006-7,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000067,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,1.0,Notice,Notice,,2005,,journal-article,,0,6,2005.0,False,False,False,True,False,False,False,True,True
10.1016/j.aip.2005.04.002,10.1016/j.aip.2005.04.002,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000481,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,3.0,Book review,Book review,Kate T. Donohue,2005,,journal-article,,0,11,2005.0,True,False,False,False,False,False,False,True,True
10.1016/s0197-4556(05)00080-8,10.1016/s0197-4556(05)00080-8,https://linkinghub.elsevier.com/retrieve/pii/S0197455605000808,,arts_in_psychotherapy,arts_in_psychotherapy,2005,32.0,4.0,New Books of Potential Interest,New Books of Potential Interest,,2005,,journal-article,,0,31,2005.0,False,False,False,False,False,False,True,True,False
