journal_key,year,n_articles,n_with_abstract,abstract_coverage_pct
arts_in_psychotherapy,2005,59,0,0.0
arts_in_psychotherapy,2006,63,0,0.0
arts_in_psychotherapy,2007,57,0,0.0
arts_in_psychotherapy,2008,56,0,0.0
arts_in_psychotherapy,2009,59,0,0.0
arts_in_psychotherapy,2010,71,0,0.0
arts_in_psychotherapy,2011,63,0,0.0
arts_in_psychotherapy,2012,76,0,0.0
arts_in_psychotherapy,2013,83,0,0.0
arts_in_psychotherapy,2014,87,0,0.0
arts_in_psychotherapy,2015,63,0,0.0
arts_in_psychotherapy,2016,66,0,0.0
arts_in_psychotherapy,2017,75,0,0.0
arts_in_psychotherapy,2018,60,0,0.0
arts_in_psychotherapy,2019,75,0,0.0
arts_in_psychotherapy,2020,73,0,0.0
arts_in_psychotherapy,2021,99,0,0.0
arts_in_psychotherapy,2022,70,0,0.0
arts_in_psychotherapy,2023,82,0,0.0
arts_in_psychotherapy,2024,78,0,0.0
arts_in_psychotherapy,2025,117,0,0.0
behaviour_research_and_therapy,2005,131,0,0.0
behaviour_research_and_therapy,2006,149,0,0.0
behaviour_research_and_therapy,2007,280,0,0.0
behaviour_research_and_therapy,2008,144,0,0.0
behaviour_research_and_therapy,2009,167,0,0.0
behaviour_research_and_therapy,2010,177,0,0.0
behaviour_research_and_therapy,2011,133,0,0.0
behaviour_research_and_therapy,2012,114,0,0.0
behaviour_research_and_therapy,2013,129,0,0.0
behaviour_research_and_therapy,2014,144,0,0.0
behaviour_research_and_therapy,2015,150,0,0.0
behaviour_research_and_therapy,2016,133,0,0.0
behaviour_research_and_therapy,2017,187,0,0.0
behaviour_research_and_therapy,2018,129,0,0.0
behaviour_research_and_therapy,2019,158,0,0.0
behaviour_research_and_therapy,2020,162,0,0.0
behaviour_research_and_therapy,2021,154,0,0.0
behaviour_research_and_therapy,2022,152,0,0.0
behaviour_research_and_therapy,2023,137,0,0.0
behaviour_research_and_therapy,2024,135,0,0.0
behaviour_research_and_therapy,2025,186,0,0.0
clinical_psychology_psychotherapy,2005,42,13,30.95
clinical_psychology_psychotherapy,2006,39,24,61.54
clinical_psychology_psychotherapy,2007,47,46,97.87
clinical_psychology_psychotherapy,2008,40,39,97.5
clinical_psychology_psychotherapy,2009,44,42,95.45
clinical_psychology_psychotherapy,2010,49,49,100.0
clinical_psychology_psychotherapy,2011,52,50,96.15
clinical_psychology_psychotherapy,2012,58,52,89.66
clinical_psychology_psychotherapy,2013,51,51,100.0
clinical_psychology_psychotherapy,2014,51,51,100.0
clinical_psychology_psychotherapy,2015,68,67,98.53
clinical_psychology_psychotherapy,2016,51,50,98.04
clinical_psychology_psychotherapy,2017,137,134,97.81
clinical_psychology_psychotherapy,2018,99,99,100.0
clinical_psychology_psychotherapy,2019,75,73,97.33
clinical_psychology_psychotherapy,2020,85,83,97.65
clinical_psychology_psychotherapy,2021,133,131,98.5
clinical_psychology_psychotherapy,2022,155,152,98.06
clinical_psychology_psychotherapy,2023,126,125,99.21
clinical_psychology_psychotherapy,2024,197,195,98.98
