year,issue_label,item_type,title,url
2006,1/2006 vol. 136,UNKNOWN,O czasopiśmie,"https://www.psychoterapiaptp.pl/O-czasopismie,1782.html"
2006,1/2006 vol. 136,UNKNOWN,Rada programowa,"https://www.psychoterapiaptp.pl/Rada-programowa,1785.html"
2006,1/2006 vol. 136,UNKNOWN,Redakcja,"https://www.psychoterapiaptp.pl/Redakcja,1784.html"
2006,1/2006 vol. 136,UNKNOWN,Kodeks etyczny,"https://www.psychoterapiaptp.pl/Kodeks-etyczny,3600.html"
2006,1/2006 vol. 136,UNKNOWN,Wydawca,"https://www.psychoterapiaptp.pl/Wydawca,3602.html"
2006,1/2006 vol. 136,UNKNOWN,Recenzenci,"https://www.psychoterapiaptp.pl/Recenzenci,3605.html"
2006,1/2006 vol. 136,UNKNOWN,Prenumerata,"https://www.psychoterapiaptp.pl/Prenumerata,3609.html"
2006,1/2006 vol. 136,UNKNOWN,Indeksowanie,"https://www.psychoterapiaptp.pl/Indeksowanie,3610.html"
2006,1/2006 vol. 136,UNKNOWN,Dla Autorów,"https://www.psychoterapiaptp.pl/Dla-Autorow,1783.html"
2006,1/2006 vol. 136,UNKNOWN,Aktualności,"https://www.psychoterapiaptp.pl/Aktualnosci,3859.html"
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-mechanizm-obronny-czy-cecha-osobowosci-Nowe-perspektywy-badawcze-,153644,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Aleksytymia-w-zaburzeniach-jedzenia-,153645,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Konsekwencje-psychologiczne-anoreksji-poczucie-wlasnej-wartosci-strategie-radzenia,153646,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Terapia-poznawczo-behawioralna-pacjentow-z-zaburzeniami-osobowosci-w-ujeciu-Christine,153647,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Temat-smierci-i-odrodzenia-w-psychodramie-Czesc-II-Praktyka-kliniczna-,153648,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Zastosowanie-hipnozy-w-kontroli-bolu-przeglad-pismiennictwa-dotyczacego-badan-klinicznych,153649,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,"TYPY ALKOHOLIZMU KOBIET. BADANIA, INTERPRETACJA PSYCHOLOGICZNA, PSYCHOTERAPIA","https://www.psychoterapiaptp.pl/TYPY-ALKOHOLIZMU-KOBIET-BADANIA-INTERPRETACJA-PSYCHOLOGICZNA-PSYCHOTERAPIA,153650,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,"Mentalizacja. Cz. 1: Wprowadzenie do zagadnienia, wymiary mentalizacji","https://www.psychoterapiaptp.pl/Mentalizacja-Cz-1-Wprowadzenie-do-zagadnienia-wymiary-mentalizacji,153884,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html"
2006,1/2006 vol. 136,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,O czasopiśmie,"https://www.psychoterapiaptp.pl/O-czasopismie,1782.html"
2007,1/2007 vol. 140,UNKNOWN,Rada programowa,"https://www.psychoterapiaptp.pl/Rada-programowa,1785.html"
2007,1/2007 vol. 140,UNKNOWN,Redakcja,"https://www.psychoterapiaptp.pl/Redakcja,1784.html"
2007,1/2007 vol. 140,UNKNOWN,Kodeks etyczny,"https://www.psychoterapiaptp.pl/Kodeks-etyczny,3600.html"
2007,1/2007 vol. 140,UNKNOWN,Wydawca,"https://www.psychoterapiaptp.pl/Wydawca,3602.html"
2007,1/2007 vol. 140,UNKNOWN,Recenzenci,"https://www.psychoterapiaptp.pl/Recenzenci,3605.html"
2007,1/2007 vol. 140,UNKNOWN,Prenumerata,"https://www.psychoterapiaptp.pl/Prenumerata,3609.html"
2007,1/2007 vol. 140,UNKNOWN,Indeksowanie,"https://www.psychoterapiaptp.pl/Indeksowanie,3610.html"
2007,1/2007 vol. 140,UNKNOWN,Dla Autorów,"https://www.psychoterapiaptp.pl/Dla-Autorow,1783.html"
2007,1/2007 vol. 140,UNKNOWN,Aktualności,"https://www.psychoterapiaptp.pl/Aktualnosci,3859.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Preferowane-wartosci-a-zdrowie-i-satysfakcja-z-zycia-,153680,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Sposob-ujmowania-relacji-terapeutycznej-w-psychoterapii-poznawczej,153681,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Sesja-terapeutyczna-w-podejsciu-poznawczo-behawioralnym-,153682,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Proces-indywiduacji-superwizora,153683,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Poczucie-umiejscowienia-kontroli-i-ekspresja-zlosci-u-kobiet-z-bulimia-badania-pilotazowe,153684,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Perspektywy-wykorzystania-komunikacji-elektronicznej-w-psychoterapii-zaburzen-jedzenia,153685,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Reakcja-przewlekla-psychoza-na-uraz-psychiczny-doznany-w-dziecinstwie-opis-przypadku,153686,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Streszczenie,"https://www.psychoterapiaptp.pl/Rasztow-korektywne-doswiadczenie-droga-do-osobistej-wolnosci,153687,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,"Mentalizacja. Cz. 1: Wprowadzenie do zagadnienia, wymiary mentalizacji","https://www.psychoterapiaptp.pl/Mentalizacja-Cz-1-Wprowadzenie-do-zagadnienia-wymiary-mentalizacji,153884,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Analiza przypadku pacjentki z zaburzeniami osobowości typu borderline hospitalizowanej na Oddziale Leczenia Zaburzeń Osobowości i Nerwic 53-63,"https://www.psychoterapiaptp.pl/Analiza-przypadku-pacjentki-z-zaburzeniami-osobowosci-typu-borderline-hospitalizowanej,153744,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Ciało w psychoterapii. Natura i funkcja integracji ciała i umysłu w pracy psychoterapeutycznej na podstawie studium przypadku w pierwszym roku psychoterapii,"https://www.psychoterapiaptp.pl/Cialo-w-psychoterapii-Natura-i-funkcja-integracji-ciala-i-umyslu-w-pracy-psychoterapeutycznej,209818,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Śnienie małżeństwa. „Sen nocy letniej” jako mapa terapeuty par,"https://www.psychoterapiaptp.pl/Snienie-malzenstwa-Sen-nocy-letniej-jako-mapa-terapeuty-par,200642,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Zagrożenia zawodowe terapeutów,"https://www.psychoterapiaptp.pl/Zagrozenia-zawodowe-terapeutow,206032,0,1.html"
2007,1/2007 vol. 140,UNKNOWN,Czy korzysta tylko pacjent? Potencjalny wpływ pracy z osobami z traumą — na terapeutę,"https://www.psychoterapiaptp.pl/Czy-korzysta-tylko-pacjent-Potencjalny-wplyw-pracy-z-osobami-z-trauma-na-terapeute,200100,0,1.html"
2008,1/2008 vol. 144,UNKNOWN,O czasopiśmie,"https://www.psychoterapiaptp.pl/O-czasopismie,1782.html"
2008,1/2008 vol. 144,UNKNOWN,Rada programowa,"https://www.psychoterapiaptp.pl/Rada-programowa,1785.html"
2008,1/2008 vol. 144,UNKNOWN,Redakcja,"https://www.psychoterapiaptp.pl/Redakcja,1784.html"
2008,1/2008 vol. 144,UNKNOWN,Kodeks etyczny,"https://www.psychoterapiaptp.pl/Kodeks-etyczny,3600.html"
