abstract_column,row_index,length,journal_key,year,article_id,title,abstract_preview
has_abstract,0,4,ijpa,1920,IJP.001.0420A,A Trivial Incident,True
has_abstract,1,4,ijpa,1920,IJP.001.0340A,Notes,True
has_abstract,2,4,ijpa,1920,IJP.001.0273A,A Substitutive Memory,True
has_abstract,3,4,ijpa,1920,IJP.001.0445A,The Literature in Dutch,True
has_abstract,4,4,ijpa,1920,IJP.001.0455A,Italian Literature,True
has_abstract,5,4,ijpa,1920,IJP.001.0457A,The Literature in Spanish,True
has_abstract,6,4,ijpa,1920,IJP.001.0196A,A Note on William Blake's Lyrics,True
has_abstract,7,4,ijpa,1920,IJP.001.0056A,Freud's Psychology,True
has_abstract,8,4,ijpa,1920,IJP.001.0204A,Ambivalence in a Slip of the Tongue,True
has_abstract,9,4,ijpa,1920,IJP.001.0423A,Word-Play in Dreams,True
