journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.0083A,IJP,2015,Correction Note,,International Journal of Psychoanalysis ,96,1,83,10.1111/1745-8315.12340,ERA,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.0250A,IJP,2015,"The Unconscious in Shakespeare's Plays by Martin S. Bergmann Karnac, London, 2013; 268 pp; £23.99",Murray M. Schwartz,International Journal of Psychoanalysis ,96,1,250-254,10.1111/1745-8315.12277,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.1183A,IJP,2015,"La séduction éthique de la situation analytique: Aux origines maternelles de la responsabilité pour l'autre [The Ethical Seduction of the Analytic Situation: The Feminine/maternal Origins of Responsibility for the Other] By Viviane Chetrit-Vatine PUF, Paris, 2012; 251 pp; £ 24.00",Bertrand Colin,International Journal of Psychoanalysis ,96,4,1183-1187,10.1111/1745-8315.12302,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.1703A,IJP,2015,Erratum,,International Journal of Psychoanalysis ,96,6,1703,10.1111/1745-8315.12475,ERA,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.0085A,IJP,2015,The Case of Alix: A Psychoanalytic Transformation When a Baby Makes Three,Lila Hoïjman,International Journal of Psychoanalysis ,96,1,85-97,10.1111/1745-8315.12271,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.0099A,IJP,2015,Discussion of ‘The Case of Alix: A Psychoanalytic Transformation When a Baby Makes Three’,Robert Oelsner,International Journal of Psychoanalysis ,96,1,99-108,1111/1745-8315.12272,ART,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.0257A,IJP,2015,Letter from Stockholm,Per Magnus Johansson,International Journal of Psychoanalysis ,96,2,257-272,10.1111/1745-8315.12361,ART,True,True,5,History of Psychoanalysis; Sweden; Strindberg; Sigmund Freud; Jacques Lacan,documentInfoXML/artkwds,1,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.0911A,IJP,2015,Obituary for Helmut Thomä,Michael Geyer and  Horst Kächele,International Journal of Psychoanalysis ,96,3,911-917,10.1111/1745-8315.12337,PRO,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.1421A,IJP,2015,On: An “Intradisciplinary” Comparison of Psychoanalytic Theorizations,René Epstein,International Journal of Psychoanalysis ,96,5,1421-1422,10.1111/1745-8315.12402,COM,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
ijpa,International Journal of Psychoanalysis,IJP,2015,IJP.096.1423A,IJP,2015,"M by Fritz Lang (Germany, 1931) Phenomenology of Evil: A Serial Killer and His Social Group",Cesare Secchi,International Journal of Psychoanalysis ,96,5,1423-1439,10.1111/1745-8315.12415,REV,True,False,0,,,0,data\raw_pep_metadata\ijpa\2015\ijpa_IJP_2015_art_id_IJP._AND_year_2015.json
