timestamp_utc,journal_id,pep_code_candidate,probe_year,endpoint,params_json,status_code,n_records,raw_path,error
2026-05-27T21:16:49.066820+00:00,ijpa,IJP,1920,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""1920\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_1920.json,
2026-05-27T21:18:05.337191+00:00,ijpa,IJP,1920,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""1920\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_1920.json,
2026-05-27T21:18:09.659783+00:00,ijpa,IJP,1950,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""1950\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_1950.json,
2026-05-27T21:18:12.977423+00:00,ijpa,IJP,1970,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""1970\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_1970.json,
2026-05-27T21:18:16.233064+00:00,ijpa,IJP,1990,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""1990\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_1990.json,
2026-05-27T21:18:19.560036+00:00,ijpa,IJP,2005,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""2005\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_2005.json,
2026-05-27T21:18:22.865072+00:00,ijpa,IJP,2020,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""2020\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_2020.json,
2026-05-27T21:19:09.625377+00:00,ijpa,IJP,2020,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""2020\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_2020.json,
2026-05-27T21:21:11.239767+00:00,ijpa,IJP,2020,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""2020\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_2020.json,
2026-05-27T21:21:23.931807+00:00,ijpa,IJP,2020,https://api.pep-web.org/v2/Database/Search/,"{""facetquery"": ""PEPCode:(\""IJP\"") AND year:(\""2020\"")"", ""formatrequested"": ""JSON"", ""abstract"": ""true"", ""limit"": ""10"", ""offset"": ""0"", ""synonyms"": ""false""}",428,0,data\raw_pep_metadata\probe\ijpa_IJP_2020.json,
