article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_url,keyword_norm,normalization_actions,keyword_norm_id
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",1,influx,https://www.archivespp.pl/Keyword-influx/437998,influx,unchanged,app_kw_0814
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",2,UK,https://www.archivespp.pl/Keyword-UK/170140,uk,lowercase,app_kw_1643
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",3,east European psychiatrists,https://www.archivespp.pl/Keyword-east+European+psychiatrists/437999,east european psychiatrists,lowercase,app_kw_0520
153098,"https://www.archivespp.pl/The-anticipated-influx-of-east-European-psychiatrists-a-sample-of-colleagues-views,153098,0,2.html",2005,7,1,"The anticipated influx of east European psychiatrists - a sample of colleagues' views from East Sussex, England",4,arrival,https://www.archivespp.pl/Keyword-arrival/438000,arrival,unchanged,app_kw_0106
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,1,panic,https://www.archivespp.pl/Keyword-panic/438004,panic,unchanged,app_kw_1095
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,2,agoraphobia,https://www.archivespp.pl/Keyword-agoraphobia/438005,agoraphobia,unchanged,app_kw_0046
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,3,treatment,https://www.archivespp.pl/Keyword-treatment/1126,treatment,unchanged,app_kw_1628
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,4,effectivness,https://www.archivespp.pl/Keyword-effectivness/438006,effectivness,unchanged,app_kw_0553
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,5,guided mastery,https://www.archivespp.pl/Keyword-guided+mastery/438007,guided mastery,unchanged,app_kw_0717
153101,"https://www.archivespp.pl/Panic-and-agoraphobia-do-treatments-targeted-for-one-problem-also-improve-the-other,153101,0,2.html",2005,7,1,Panic and agoraphobia: do treatments targeted for one problem also improve the other? A pilot study,6,interceptive exposure,https://www.archivespp.pl/Keyword-interceptive+exposure/438008,interceptive exposure,unchanged,app_kw_0831
