issue_url,issue_label,year,volume,issue_number,issue_id,source
"https://www.archivespp.pl/Issue-1-2005,11552",1/2005 vol. 7,2005,7,1,11552,archive
"https://www.archivespp.pl/Issue-2-2005,11553",2/2005 vol. 7,2005,7,2,11553,archive
"https://www.archivespp.pl/Issue-3-2005,11554",3/2005 vol. 7,2005,7,3,11554,archive
"https://www.archivespp.pl/Issue-4-2005,11555",4/2005 vol. 7,2005,7,4,11555,archive
"https://www.archivespp.pl/Issue-1-2006,11556",1/2006 vol. 8,2006,8,1,11556,archive
"https://www.archivespp.pl/Issue-2-2006,11557",2/2006 vol. 8,2006,8,2,11557,archive
"https://www.archivespp.pl/Issue-3-2006,11558",3/2006 vol. 8,2006,8,3,11558,archive
"https://www.archivespp.pl/Issue-4-2006,11559",4/2006 vol. 8,2006,8,4,11559,archive
"https://www.archivespp.pl/Issue-1-2-2007,11560",1-2/2007 vol. 9,2007,9,1-2,11560,archive
"https://www.archivespp.pl/Issue-3-2007,11561",3/2007 vol. 9,2007,9,3,11561,archive
"https://www.archivespp.pl/Issue-4-2007,11562",4/2007 vol. 9,2007,9,4,11562,archive
"https://www.archivespp.pl/Issue-1-2008,11563",1/2008 vol. 10,2008,10,1,11563,archive
"https://www.archivespp.pl/Issue-2-2008,11564",2/2008 vol. 10,2008,10,2,11564,archive
"https://www.archivespp.pl/Issue-3-2008,11565",3/2008 vol. 10,2008,10,3,11565,archive
"https://www.archivespp.pl/Issue-4-2008,11566",4/2008 vol. 10,2008,10,4,11566,archive
"https://www.archivespp.pl/Issue-1-2009,11567",1/2009 vol. 11,2009,11,1,11567,archive
"https://www.archivespp.pl/Issue-2-2009,11568",2/2009 vol. 11,2009,11,2,11568,archive
"https://www.archivespp.pl/Issue-3-2009,11569",3/2009 vol. 11,2009,11,3,11569,archive
"https://www.archivespp.pl/Issue-4-2009,11570",4/2009 vol. 11,2009,11,4,11570,archive
"https://www.archivespp.pl/Issue-1-2010,11571",1/2010 vol. 12,2010,12,1,11571,archive
"https://www.archivespp.pl/Issue-2-2010,11572",2/2010 vol. 12,2010,12,2,11572,archive
"https://www.archivespp.pl/Issue-3-2010,11573",3/2010 vol. 12,2010,12,3,11573,archive
"https://www.archivespp.pl/Issue-4-2010,11574",4/2010 vol. 12,2010,12,4,11574,archive
"https://www.archivespp.pl/Issue-1-2011,11575",1/2011 vol. 13,2011,13,1,11575,archive
"https://www.archivespp.pl/Issue-2-2011,11576",2/2011 vol. 13,2011,13,2,11576,archive
"https://www.archivespp.pl/Issue-3-2011,11577",3/2011 vol. 13,2011,13,3,11577,archive
"https://www.archivespp.pl/Issue-4-2011,11578",4/2011 vol. 13,2011,13,4,11578,archive
"https://www.archivespp.pl/Issue-1-2012,11579",1/2012 vol. 14,2012,14,1,11579,archive
"https://www.archivespp.pl/Issue-2-2012,11580",2/2012 vol. 14,2012,14,2,11580,archive
"https://www.archivespp.pl/Issue-3-2012,11581",3/2012 vol. 14,2012,14,3,11581,archive
"https://www.archivespp.pl/Issue-4-2012,11582",4/2012 vol. 14,2012,14,4,11582,archive
"https://www.archivespp.pl/Issue-1-2013,11583",1/2013 vol. 15,2013,15,1,11583,archive
"https://www.archivespp.pl/Issue-2-2013,355",2/2013 vol. 15,2013,15,2,355,archive
"https://www.archivespp.pl/Issue-3-2013,394",3/2013 vol. 15,2013,15,3,394,archive
"https://www.archivespp.pl/Issue-4-2013,472",4/2013 vol. 15,2013,15,4,472,archive
"https://www.archivespp.pl/Issue-1-2014,475",1/2014 vol. 16,2014,16,1,475,archive
"https://www.archivespp.pl/Issue-2-2014,746",2/2014 vol. 16,2014,16,2,746,archive
"https://www.archivespp.pl/Issue-3-2014,812",3/2014 vol. 16,2014,16,3,812,archive
"https://www.archivespp.pl/Issue-4-2014,1124",4/2014 vol. 16,2014,16,4,1124,archive
"https://www.archivespp.pl/Issue-1-2015,1159",1/2015 vol. 17,2015,17,1,1159,archive
"https://www.archivespp.pl/Issue-2-2015,1256",2/2015 vol. 17,2015,17,2,1256,archive
"https://www.archivespp.pl/Issue-3-2015,1304",3/2015 vol. 17,2015,17,3,1304,archive
"https://www.archivespp.pl/Issue-4-2015,1469",4/2015 vol. 17,2015,17,4,1469,archive
"https://www.archivespp.pl/Issue-1-2016,1605",1/2016 vol. 18,2016,18,1,1605,archive
"https://www.archivespp.pl/Issue-2-2016,1606",2/2016 vol. 18,2016,18,2,1606,archive
"https://www.archivespp.pl/Issue-3-2016,1607",3/2016 vol. 18,2016,18,3,1607,archive
"https://www.archivespp.pl/Issue-4-2016,1608",4/2016 vol. 18,2016,18,4,1608,archive
"https://www.archivespp.pl/Issue-1-2017,2321",1/2017 vol. 19,2017,19,1,2321,archive
"https://www.archivespp.pl/Issue-2-2017,2322",2/2017 vol. 19,2017,19,2,2322,archive
"https://www.archivespp.pl/Issue-3-2017,2323",3/2017 vol. 19,2017,19,3,2323,archive
"https://www.archivespp.pl/Issue-4-2017,2324",4/2017 vol. 19,2017,19,4,2324,archive
"https://www.archivespp.pl/Issue-1-2018,3435",1/2018 vol. 20,2018,20,1,3435,archive
"https://www.archivespp.pl/Issue-2-2018,3436",2/2018 vol. 20,2018,20,2,3436,archive
"https://www.archivespp.pl/Issue-3-2018,3437",3/2018 vol. 20,2018,20,3,3437,archive
"https://www.archivespp.pl/Issue-4-2018,3438",4/2018 vol. 20,2018,20,4,3438,archive
"https://www.archivespp.pl/Issue-1-2019,7170",1/2019 vol. 21,2019,21,1,7170,archive
"https://www.archivespp.pl/Issue-2-2019,7171",2/2019 vol. 21,2019,21,2,7171,archive
"https://www.archivespp.pl/Issue-3-2019,7172",3/2019 vol. 21,2019,21,3,7172,archive
"https://www.archivespp.pl/Issue-4-2019,7173",4/2019 vol. 21,2019,21,4,7173,archive
"https://www.archivespp.pl/Issue-1-2020,8234",1/2020 vol. 22,2020,22,1,8234,archive
"https://www.archivespp.pl/Issue-2-2020,8715",2/2020 vol. 22,2020,22,2,8715,archive
"https://www.archivespp.pl/Issue-3-2020,9073",3/2020 vol. 22,2020,22,3,9073,archive
"https://www.archivespp.pl/Issue-4-2020,9373",4/2020 vol. 22,2020,22,4,9373,archive
"https://www.archivespp.pl/Issue-1-2021,9665",1/2021 vol. 23,2021,23,1,9665,archive
"https://www.archivespp.pl/Issue-2-2021,10053",2/2021 vol. 23,2021,23,2,10053,archive
"https://www.archivespp.pl/Issue-3-2021,10337",3/2021 vol. 23,2021,23,3,10337,archive
"https://www.archivespp.pl/Issue-4-2021,10584",4/2021 vol. 23,2021,23,4,10584,archive
"https://www.archivespp.pl/Issue-1-2022,10869",1/2022 vol. 24,2022,24,1,10869,archive
"https://www.archivespp.pl/Issue-2-2022,11321",2/2022 vol. 24,2022,24,2,11321,archive
"https://www.archivespp.pl/Issue-3-2022,11543",3/2022 vol. 24,2022,24,3,11543,archive
"https://www.archivespp.pl/Issue-4-2022,11885",4/2022 vol. 24,2022,24,4,11885,archive
"https://www.archivespp.pl/Issue-1-2023,12307",1/2023 vol. 25,2023,25,1,12307,archive
"https://www.archivespp.pl/Issue-2-2023,12612",2/2023 vol. 25,2023,25,2,12612,archive
"https://www.archivespp.pl/Issue-3-2023,12932",3/2023 vol. 25,2023,25,3,12932,archive
"https://www.archivespp.pl/Issue-4-2023,13077",4/2023 vol. 25,2023,25,4,13077,archive
"https://www.archivespp.pl/Issue-1-2024,13962",1/2024 vol. 26,2024,26,1,13962,archive
"https://www.archivespp.pl/Issue-2-2024,14084",2/2024 vol. 26,2024,26,2,14084,archive
"https://www.archivespp.pl/Issue-3-2024,14335",3/2024 vol. 26,2024,26,3,14335,archive
"https://www.archivespp.pl/Issue-4-2024,14970",4/2024 vol. 26,2024,26,4,14970,archive
"https://www.archivespp.pl/Issue-1-2025,15496",1/2025 vol. 27,2025,27,1,15496,archive
"https://www.archivespp.pl/Issue-2-2025,15497",2/2025 vol. 27,2025,27,2,15497,archive
"https://www.archivespp.pl/Issue-3-2025,15498",3/2025 vol. 27,2025,27,3,15498,archive
"https://www.archivespp.pl/Issue-4-2025,15499",4/2025 vol. 27,2025,27,4,15499,archive
