article_id,article_url,year,volume,issue_number,title,keyword_order,keyword_raw,keyword_url,removal_reason
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,1,editorial,https://www.archivespp.pl/Keyword-editorial/4090,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,2,editorial 1,https://www.archivespp.pl/Keyword-editorial+1/160554,outside_requested_scope_2005_2025
219867,"https://www.archivespp.pl/Editorial,219867,0,2.html",2026,28,1,Editorial,3,editorial 2,https://www.archivespp.pl/Keyword-editorial+2/160555,outside_requested_scope_2005_2025
