journal_id,journal_label,pep_code_candidate,probe_year,document_id,pep_code_record,year_record,title,authors,source_title,volume,issue,pages,doi,article_type,has_abstract,has_keywords,n_keywords,keywords_joined,keyword_source,art_kwds_count,source_file
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0165A,PPSY,2012,E-Mail Notification of Your Latest Issue Online!,,Psychoanalytic Psychology,29,2,165-165,,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0187A,PPSY,2012,Members of Underrepresented Groups: Reviewers for Journal Manuscripts Wanted,,Psychoanalytic Psychology,29,2,187-187,,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0276A,PPSY,2012,Addendum,,Psychoanalytic Psychology,29,2,276-277,10.1037/a0028007,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0291A,PPSY,2012,Members of Underrepresented Groups: Reviewers for Journal Manuscripts Wanted,,Psychoanalytic Psychology,29,3,291,,ART,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0377A,PPSY,2012,"Starting Treatment with Children and Adolescents, by Steven Tuber & Jane Caflisch, New York, NY: Routledge, 2011, 308 pp., $28.37 (paper-bound).",John Rosegrant,Psychoanalytic Psychology,29,3,377-379,10.1037/a0027140,REV,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0001A,PPSY,2012,Personality-Related Responses to the Psychoanalytic Process: A Systematic Multicase Study,Sonja Levander and  Andrzej Werbart,Psychoanalytic Psychology,29,1,1-16,10.1037/a0024713,ART,True,True,4,personality; psychoanalytic process; expectations; helpful and hindering factors,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0380A,PPSY,2012,"The Enchanter: Nabokov and Happiness, by Lila Azam Zanganeh, New York, NY: W.W. Norton, 2011, 228 pp. ISBN: 978-0393079920. $23.95.",Leonard Shengold,Psychoanalytic Psychology,29,3,380-382,10.1037/a0028932,REV,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0112A,PPSY,2012,"Toward Mutual Recognition: Relational Psychoanalysis and the Christian Narrative, by Marie T. Hoffman (Relational Perspectives Book Series, Vol. 48), New York, NY: Routledge, 2011, 256 pp., $35.95.",Donna M. Orange,Psychoanalytic Psychology,29,1,112-118,10.1037/a0026103,REV,True,False,0,,,0,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0330A,PPSY,2012,From Couch to Culture through the Therapeutic Community,Margaret Parish,Psychoanalytic Psychology,29,3,330-345,10.1037/a0023827,ART,True,True,5,psychoanalysis; therapeutic community; social roles; object relations; unconscious group dynamics,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
psychoanalytic_psychology,Psychoanalytic Psychology,PPSY,2012,PPSY.029.0226A,PPSY,2012,Technologically Altered Reality Inside the Therapist's Office,John Rosegrant,Psychoanalytic Psychology,29,2,226-240,10.1037/a0025329,ART,True,True,4,computer technology; adolescence; psychotherapy; play therapy,documentInfoXML/artkwds,1,data\raw_pep_metadata\psychoanalytic_psychology\2012\psychoanalytic_psychology_PPSY_2012_art_id_PPSY._AND_year_2012.json
