candidate_publication_id,person_id,name_ptpp_order,surname_guess,given_names_guess,membership_category,source_database,name_as_published,author_position,author_orcid,affiliations,name_match_score,name_match_basis,domain_score,domain_hits,affiliation_score,affiliation_hits,total_candidate_score,confidence_hint,audit_status,audit_notes
f32070624c8a3f52856c,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,3,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
05771719e18d9ded108d,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,3,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
b099e831b77a28b62beb,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,9,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
e6790bf8f41a0b2ffa10,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,7,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
c8329b6207f3eb462947,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,10,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
063d8be933d29ec7fcf3,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,5,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
83dd808f08a685a7581d,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,7,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
c0b25bd0a058698b617b,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,10,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
e752b94ff631e6e2a4f7,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,7,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
dc367741f2a07b8e6b2d,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,5,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
21a3e87952ed87e63a80,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,8,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
8de4f7ac4aac0e7ceab1,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,3,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
5f9d0066abbd46d08cb7,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,3,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
4ee9d68bbd4e1a0f42de,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,9,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
2368dc1b5cae42ea379e,ptpp_ordinary_member_0006,Augustyniak Maria,Augustyniak,Maria,ordinary_member,openalex,Maria Augustyniak,7,https://orcid.org/0000-0003-1960-1669,University of Silesia in Katowice | PL,0.95,openalex_author_entity:surname+given,0.0,,0.04,katowice,0.99,medium_candidate,candidate_needs_review,
