url,year,volume,issue,doi,keyword_raw,keyword_norm
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/216431,od redakcji,od redakcji
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/216431,Neuropsychologia i neuropsychiatria,neuropsychologia i neuropsychiatria
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/216431,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,logopedia,logopedia
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,zdrowie psychiczne,zdrowie psychiczne
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,dzieci,dzieci
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,ocena i diagnoza logopedyczna,ocena i diagnoza logopedyczna
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,terapia logopedyczna,terapia logopedyczna
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,zdrowie psychiczne dzieci,zdrowie psychiczne dzieci
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,Psychiatria dzieci i młodzieży,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,pica,pica
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,zaburzenia odżywiania,zaburzenia odżywiania
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,zaburzenia odżywiania nieokreślone inaczej,zaburzenia odżywiania nieokreślone inaczej
