url,title,year,volume,issue,pages,doi,article_type
"https://www.psychiatriapolska.pl/O-czasopismie,1769.html",O czasopiśmie,,,,,,
"https://www.psychiatriapolska.pl/Redakcja,1771.html",Redakcja,,,,,,EDITORIAL
"https://www.psychiatriapolska.pl/Rada-programowa,1772.html",Rada programowa,,,,,,
"https://www.psychiatriapolska.pl/Wydawca,3587.html",Wydawca,,,,,,
"https://www.psychiatriapolska.pl/Prenumerata,3589.html",Prenumerata,,,,,,
"https://www.psychiatriapolska.pl/RODO,3590.html",RODO,,,,,,
"https://www.psychiatriapolska.pl/Indeksowanie,3592.html",Indeksowanie,,,,,,
"https://www.psychiatriapolska.pl/WYTYCZNE-DLA-AUTOROW,1770.html",WYTYCZNE DLA AUTORÓW,,,,,,
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",Od Redakcji,2025,59,6,889-890,https://doi.org/10.12740/PP/216431,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",Opieka logopedyczna w ochronie zdrowia psychicznego dzieci. Część 1: obszar badań i praktyki,2025,59,6,893-904,https://doi.org/10.12740/PP/194143,
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html","Opieka logopedyczna w ochronie zdrowia psychicznego dzieci. Część 2: kompetencje, diagnoza i terapia",2025,59,6,905-916,https://doi.org/10.12740/PP/195509,
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",Kiedy niejadalne staje się jedzeniem – określenie częstości występowania picy w grupie polskich nastolatków między 15. a 19. rokiem życia,2025,59,6,917-934,https://doi.org/10.12740/PP/OnlineFirst/202942,
"https://www.psychiatriapolska.pl/Validation-of-the-Polish-version-of-the-Functional-Analytic-Psychotherapy-Intimacy,194429,0,1.html",Walidacja polskiej wersji Skali intymności według psychoterapii opartej na analizie funkcjonalnej (FAPIS),2025,59,6,935-946,https://doi.org/10.12740/PP/194429,
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",Seksualność kobiet w okresie ciąży,2025,59,6,947-961,https://doi.org/10.12740/PP/199492,
"https://www.psychiatriapolska.pl/Long-term-effects-and-the-mediating-role-of-coping-styles-between-behavioral-changes,195284,0,1.html",Długoterminowe skutki i pośrednicząca rola stylów radzenia sobie między zmianami behawioralnymi a reakcjami psychopatologicznymi wśród polskich studentów uczelni wyższych podczas pandemii COVID-19,2025,59,6,963-987,https://doi.org/10.12740/PP/OnlineFirst/195284,
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html","Zastosowanie Inwentarza Depresji Becka jako zmiennej ciągłej jako wskaźnika ryzyka sięgania po substancje
psychoaktywne w populacji 17-letniej młodzieży wielkomiejskiej",2025,59,6,989-1002,https://doi.org/10.12740/PP/OnlineFirst/211839,
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",Olanzapine in the treatment of schizophrenia in adolescents – mechanisms of action and therapeutic efficacy.,2025,59,6,1003-1015,https://doi.org/10.12740/PP/214532,
"https://www.psychiatriapolska.pl/Minority-stress-and-the-psychological-well-being-of-non-heteronormative-people-The,199788,0,1.html",Stres mniejszościowy a dobrostan psychologiczny osób nieheteronormatywnych: mediacyjna rola dialogów wewnętrznych,2025,59,6,1017-1031,https://doi.org/10.12740/PP/OnlineFirst/199788,
"https://www.psychiatriapolska.pl/Psychiatrists-reactions-to-a-patient-s-suicide-narrative-review,193253,0,1.html",Reakcje lekarzy psychiatrów na samobójstwo pacjenta – przegląd literatury,2025,59,6,1033-1048,https://doi.org/10.12740/PP/OnlineFirst/193253,
"https://www.psychiatriapolska.pl/Letter-to-the-Editor-Diagnosis-of-immune-encephalitis-requires-a-workup-for-specific,189675,0,1.html",Letter to the Editor. Diagnosis of immune encephalitis requires a workup for specific antibodies and the exclusion of SARS-CoV-2 infection,2025,59,6,1049-1050,https://doi.org/10.12740/PP/189675,
"https://www.psychiatriapolska.pl/Treatment-of-insomnia-effect-of-trazodone-and-hypnotics-on-sleep,125650,0,1.html",Leczenie bezsenności – wpływ trazodonu i leków nasennych na sen,2021,55,4,743-755,https://doi.org/10.12740/PP/125650,ARTICLE
"https://www.psychiatriapolska.pl/Polish-adaptation-of-the-Structured-Interview-of-Personality-Organization-STIPO-R,207497,0,1.html",Polska adaptacja Strukturyzowanego Wywiadu na temat Zaburzeń Osobowości (STIPO-R-PL),,,,,https://doi.org/10.12740/PP/OnlineFirst/207497,
"https://www.psychiatriapolska.pl/ICD-11-vs-ICD-10-a-review-of-updates-and-novelties-introduced-in-the-latest-version,103876,0,1.html",ICD-11 vs. ICD-10 – przegląd aktualizacji i nowości wprowadzonych w najnowszej wersji Międzynarodowej Klasyfikacji Chorób WHO,2020,54,1,7-20,https://doi.org/10.12740/PP/103876,REVIEW
"https://www.psychiatriapolska.pl/Adaptation-and-validation-of-the-Columbia-Suicide-Severity-Rating-Scale-C-SSRS-screen,174591,0,1.html",Polska adaptacja i walidacja wersji przesiewowej Skali Oceny Ryzyka Samobójstwa z Uniwersytetu Columbia (C-SSRS),2025,59,2,281-298,https://doi.org/10.12740/PP/OnlineFirst/174591,
"https://www.psychiatriapolska.pl/Adaptation-and-validation-of-a-quarter-of-life-crisis-questionnaire-The-Developmental,186921,0,1.html",Adaptacja i walidacja kwestionariusza do pomiaru kryzysu ćwierci życia – The Developmental Crisis Questionnaire (DCQ-12),2025,59,3,463-476,https://doi.org/10.12740/PP/OnlineFirst/186921,
"https://www.psychiatriapolska.pl/Polish-adaptation-and-validation-of-the-standard-27-item-Highly-Sensitive-Person,190107,0,1.html",Polska adaptacja i walidacja standardowej 27-itemowej Skali Wysokiej Wrażliwości,2025,59,3,477-497,https://doi.org/10.12740/PP/OnlineFirst/190107,
"https://www.psychiatriapolska.pl/Editorial,214118,0,1.html",Od Redakcji,2025,59,5,703-704,https://doi.org/10.12740/PP/214118,
"https://www.psychiatriapolska.pl/Sixty-years-of-neurotransmitter-concepts-of-mood-disorders,205845,0,1.html",Sześćdziesiąt lat neuroprzekaźnikowych koncepcji chorób afektywnych,2025,59,5,707-720,https://doi.org/10.12740/PP/205845,
"https://www.psychiatriapolska.pl/Neurobiology-of-creativity-is-there-any-association-with-bipolar-mood-disorder-,200401,0,1.html",Neurobiologia kreatywności: czy istnieje związek z chorobą afektywną dwubiegunową?,2025,59,5,721-736,https://doi.org/10.12740/PP/200401,
"https://www.psychiatriapolska.pl/The-time-of-contact-with-the-media-as-a-potential-source-of-behaviours-similar-to,193433,0,1.html",Czas kontaktu z mediami jako potencjalne źródło zachowań podobnych do cech zaburzeń ze spektrum autyzmu u dzieci w wieku 6–10 lat,2025,59,5,737-754,https://doi.org/10.12740/PP/193433,
"https://www.psychiatriapolska.pl/Binge-drinking-among-adolescents-role-of-temperament-family-environment-and-peers,194034,0,1.html","Upijanie się wśród nastolatków: rola temperamentu, środowiska rodzinnego i rówieśniczego",2025,59,5,755-768,https://doi.org/10.12740/PP/194034,
"https://www.psychiatriapolska.pl/Cognitive-emotion-regulation-strategies-as-mediators-of-the-relationship-between,200519,0,1.html",Poznawcze strategie regulacji emocji jako mediatory relacji między zdolnością do mentalizacji i symptomami depresji u nastolatków,2025,59,5,769-781,https://doi.org/10.12740/PP/OnlineFirst/200519,
"https://www.psychiatriapolska.pl/Parental-minority-stress-and-symptoms-of-depression-and-anxiety-in-women-raising,190770,0,1.html",Rodzicielski stres mniejszościowy a symptomy depresji i lęku u kobiet wychowujących dzieci w związkach jednopłciowych,2025,59,5,783-796,https://doi.org/10.12740/PP/OnlineFirst/190770,
"https://www.psychiatriapolska.pl/Emotional-conscience-in-individuals-with-affective-disorders,186661,0,1.html",Sumienie emocjonalne u osób z zaburzeniem nastroju,2025,59,5,797-813,https://doi.org/10.12740/PP/OnlineFirst/186661,
"https://www.psychiatriapolska.pl/The-influence-of-mindfulness-training-in-virtual-reality-on-symptom-severity-and,194444,0,1.html",Ocena skuteczności włączenia treningu uważności w wirtualnej rzeczywistości na nasilenie objawów i funkcjonowanie poznawcze pacjentów ze schizofrenią i z psychozą schizoafektywną – pilotażowe studium wielu przypadków,2025,59,5,815-826,https://doi.org/10.12740/PP/OnlineFirst/194444,
