url,year,volume,issue,doi,keyword_final_polish
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/216431,neuropsychologia
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/216431,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,logopedia
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194143,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,diagnostyka logopedyczna
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-2-competences,195509,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/195509,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,zaburzenia odżywiania
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,zaburzenia odżywiania
"https://www.psychiatriapolska.pl/When-eating-inedible-things-Determining-the-prevalence-of-pica-disorder-in-a-group,202942,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/202942,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Validation-of-the-Polish-version-of-the-Functional-Analytic-Psychotherapy-Intimacy,194429,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/194429,psychotherapy
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,seksualność
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,ciąża
"https://www.psychiatriapolska.pl/Women-s-sexuality-during-pregnancy,199492,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/199492,kobiety
"https://www.psychiatriapolska.pl/Long-term-effects-and-the-mediating-role-of-coping-styles-between-behavioral-changes,195284,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/195284,studenci
"https://www.psychiatriapolska.pl/Long-term-effects-and-the-mediating-role-of-coping-styles-between-behavioral-changes,195284,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/195284,psychopatologia
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,metodologia badań
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,epidemiologia
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,młodzież
"https://www.psychiatriapolska.pl/Using-Beck-Depression-Inventory-as-a-continuous-variable-as-an-indicator-of-risk,211839,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/211839,psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,młodzież
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,schizofrenia
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,olanzapina
"https://www.psychiatriapolska.pl/Olanzapine-in-the-treatment-of-schizophrenia-in-adolescents-mechanisms-of-action,214532,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/214532,farmakoterapia
"https://www.psychiatriapolska.pl/Psychiatrists-reactions-to-a-patient-s-suicide-narrative-review,193253,0,1.html",2025.0,59.0,6.0,https://doi.org/10.12740/PP/OnlineFirst/193253,samobójstwo
