url,year,volume,issue,doi,keyword_raw
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,6/2025 vol. 59
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,CC-BY 4.0
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Pobierz cytowanie
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Dominika  Dudek
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Jerzy A. Sobański
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Katarzyna  Klasa
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Więcej
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Ukryj
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,od redakcji
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Neuropsychologia i neuropsychiatria
"https://www.psychiatriapolska.pl/Editorial,216431,0,1.html",2025,59,6,https://doi.org/10.12740/PP/216431,Psychiatria dzieci i młodzieży
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025,59,6,https://doi.org/10.12740/PP/194143,6/2025 vol. 59
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025,59,6,https://doi.org/10.12740/PP/194143,CC-BY 4.0
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025,59,6,https://doi.org/10.12740/PP/194143,Pobierz cytowanie
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025,59,6,https://doi.org/10.12740/PP/194143,Ewa  Hrycyna
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025,59,6,https://doi.org/10.12740/PP/194143,Więcej
"https://www.psychiatriapolska.pl/Speech-and-Language-Therapy-in-Mental-Health-Care-of-Children-Part-1-the-areas-of,194143,0,1.html",2025,59,6,https://doi.org/10.12740/PP/194143,Ukryj
